Term,Definition
Soil,"Soil is the uppermost layer of the Earth that supports plant growth. It consists of minerals, organic matter, water, and air. Healthy soil provides nutrients, stores water, and supports biodiversity essential for agriculture."
Soil fertility,"Soil fertility refers to the soil's ability to supply essential nutrients to crops in adequate amounts. It depends on soil texture, organic matter, pH, and microbial activity. Fertile soil ensures sustainable crop yields and ecosystem balance."
Soil erosion,"Soil erosion is the removal of the top fertile layer of soil by wind or water. It reduces soil productivity and leads to sedimentation in water bodies. Conservation methods like contour farming, mulching, and afforestation help prevent erosion."
Irrigation,Irrigation is the artificial application of water to soil or land to support crop growth. It compensates for inadequate rainfall and improves productivity. Efficient irrigation systems prevent water waste and soil salinization.
Drip irrigation,"Drip irrigation delivers water directly to plant roots through pipes and emitters. It minimizes evaporation and water loss, increases efficiency, and is ideal for water-scarce regions and horticultural crops."
Sprinkler irrigation,"Sprinkler irrigation distributes water through pipes and nozzles that simulate natural rainfall. It provides uniform water distribution, reduces soil erosion, and is suitable for uneven terrains."
Mulching,"Mulching covers the soil with materials such as straw, leaves, or compost to conserve moisture, suppress weeds, and regulate temperature. It enhances soil structure and reduces erosion."
Crop rotation,"Crop rotation is the practice of growing different crops in the same field in sequential seasons. It prevents nutrient depletion, controls pests, and improves soil fertility naturally."
Organic farming,"Organic farming is a method that avoids synthetic fertilizers and pesticides. It relies on compost, crop rotation, and biological pest control to maintain soil health and produce chemical-free food."
Agroforestry,"Agroforestry integrates trees and shrubs into crop and livestock systems. It improves biodiversity, prevents soil erosion, enhances carbon sequestration, and provides additional income from timber and fruits."
Vermicomposting,"Vermicomposting is the process of using earthworms to convert organic waste into nutrient-rich compost called vermicompost. It improves soil aeration, enhances microbial activity, and provides a natural fertilizer for sustainable farming."
Composting,Composting is the biological decomposition of organic waste such as crop residues and manure into nutrient-rich material that improves soil structure and fertility. It reduces waste and supports sustainable agriculture.
Biofertilizer,"A biofertilizer contains living microorganisms that enhance nutrient availability to plants. Examples include Rhizobium, Azotobacter, and Azospirillum, which fix nitrogen and improve soil health naturally."
Fertilizer,"Fertilizers are substances added to soil to supply essential nutrients for plant growth. They can be organic or inorganic, and balanced application improves yield and soil productivity."
Manure,"Manure is decomposed animal dung or plant waste used to improve soil fertility. It adds organic matter, enhances moisture retention, and promotes microbial activity."
Cover crops,"Cover crops are plants grown mainly to protect soil rather than for harvest. They prevent erosion, suppress weeds, improve organic matter, and maintain soil fertility."
Green manure,Green manure refers to crops grown and plowed into the soil to increase organic matter and nutrients. Common green manure crops include legumes that fix nitrogen naturally.
Pesticide,"A pesticide is a chemical or biological substance used to control pests, weeds, or plant diseases. Responsible use minimizes environmental harm and ensures crop safety."
Integrated pest management,"Integrated Pest Management (IPM) combines biological, cultural, physical, and chemical methods to manage pests economically while minimizing environmental damage."
Rainwater harvesting,"Rainwater harvesting is the collection and storage of rainwater for irrigation or domestic use. It conserves water, reduces dependence on groundwater, and improves sustainability."
Contour farming,"Contour farming involves plowing and planting crops along the natural contours of the land. It reduces soil erosion, enhances water infiltration, and conserves nutrients."
Terracing,Terracing creates leveled platforms on sloped land to prevent soil erosion and runoff. It allows efficient water retention and cultivation on hilly terrain.
Sustainable livestock,"Sustainable livestock management focuses on efficient feed use, animal welfare, and waste recycling. It reduces methane emissions and supports ecological balance."
Biodiversity,"Biodiversity refers to the variety of living organisms within ecosystems. It supports pollination, pest control, and ecological resilience essential for sustainable agriculture."
Carbon sequestration,"Carbon sequestration is the process of capturing and storing atmospheric carbon dioxide in soil, vegetation, or biomass to mitigate climate change impacts."
Hydroponics,"Hydroponics is a method of growing plants without soil, using nutrient-rich water. It saves water, increases yield, and allows year-round production."
Aquaponics,"Aquaponics integrates aquaculture (fish farming) and hydroponics in a closed-loop system where fish waste provides nutrients for plants, and plants purify water for fish."
Biogas,Biogas is a renewable fuel produced by anaerobic digestion of organic waste. It generates energy for cooking or electricity and provides nutrient-rich slurry as fertilizer.
Renewable energy,"Renewable energy in agriculture includes solar, wind, and biogas power. It reduces carbon emissions, lowers costs, and promotes sustainable rural development."
Climate-smart agriculture,"Climate-smart agriculture (CSA) includes practices that enhance productivity, resilience, and reduce greenhouse gas emissions to adapt to climate change."
Water conservation,"Water conservation in agriculture focuses on efficient use and management of water resources through drip irrigation, rainwater harvesting, and soil moisture retention."
Organic pest control,"Organic pest control uses natural substances and biological methods like neem oil, garlic extract, and beneficial insects to manage pests. It avoids harmful chemicals and preserves ecological balance."
Permaculture,"Permaculture is a design system that mimics natural ecosystems to create self-sustaining agricultural environments. It focuses on diversity, resilience, and efficient resource use."
No-till farming,"No-till farming is a conservation practice where crops are planted directly into undisturbed soil. It improves soil structure, reduces erosion, and enhances carbon storage."
Zero Budget Natural Farming,"Zero Budget Natural Farming (ZBNF) is an Indian method that eliminates external chemical inputs. It promotes natural fertilizers like cow dung, urine-based bio-inputs, and local resources for low-cost farming."
Deforestation,"Deforestation is the large-scale removal of forest cover for agriculture or development. It leads to habitat loss, biodiversity decline, and contributes to global warming."
